CAMPUS;CURSO/TURNO/INTEGRADO;Turno;Código;VAGAS 2024.1;INSCRITOS 2024.1;VAGAS 2023.1;INSCRITOS 2023.1;VAGAS 2022.2;INSCRITOS;VAGAS 2022.1;INSCRITOS;VAGAS 2020.1;VAGAS 2019.1;VAGAS 2018.1;VAGAS 2017.1;VAGAS 2016.1;VAGAS 2015.1;ISENTOS 2020.1;ISENTOS 2019.1;ISENTOS 2018.1;ISENTOS 2017.1;ISENTOS 2016.1;ISENTOS 2015.1;PAGOS 2020.1;PAGOS 2019.1;PAGOS 2018.1;PAGOS 2017.1;PAGOS 2016.1;PAGOS 2015.1;REMANESCENTES 2020.1;REMANESCENTES 2019.1;REMANESCENTES 2018.1;REMANESCENTES 2017.1;REMANESCENTES 2016.1;REMANESCENTES 2015.1;TOTAL 2020.1;TOTAL 2019.1;TOTAL 2018.1;TOTAL 2017.1;TOTAL 2016.1;TOTAL 2015.1
CAMPUS SÃO MIGUEL DOS CAMPOS;Informática para Internet;Matutino;1100611;36;212;36;393;;;36;332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPUS SÃO MIGUEL DOS CAMPOS;Informática para Internet;Vespertino;1100612;36;90;36;224;;;36;206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPUS SATUBA;Agropecuária;Semi-Residência/Externato;1041225;0;0;0;0;;;---;---;;140;140;144;150;125;---;135;137;43;42;0;---;286;332;349;529;455;---;---;---;---;---;---;---;421;469;392;571;455
CAMPUS SATUBA;Agropecuária ;Residência;1041224;0;0;0;0;;;---;---;6;20;20;16;10;15;2;7;0;0;5;0;10;23;22;45;41;69;---;---;---;---;---;---;12;30;22;45;46;69
CAMPUS SATUBA;Agroindústria;Semi-Residência/Externato;1040915;0;0;0;0;;;---;---;;32;32;24;35;32;---;52;40;6;13;0;---;43;55;71;159;97;---;---;---;---;---;---;---;95;95;77;172;97
CAMPUS SATUBA;Agroindústria;Residência;1040914;0;0;0;0;;;---;---;3;8;8;16;5;8;0;1;1;2;0;0;1;3;4;5;7;14;---;---;---;---;---;---;1;4;5;7;7;14
CAMPUS SATUBA;Agroindústria;Integral;1040917;72;172;72;79;;;72;87;69;;;;;;37;;;;;;73;---;---;---;---;---;---;---;;;;;110;;;;;
CAMPUS SATUBA;Agropecuária;Integral;1041227;144;353;144;325;;;144;233;138;;;;;;114;;;;;;224;---;---;---;---;---;---;---;;;;;338;;;;;
CAMPUS SATUBA;Alimentos;Noturno;1040913;32;0;32;10;;;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPUS SATUBA;Informática;Noturno;1040623;32;0;32;25;;;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPUS VIÇOSA;Informática para Internet;Vespertino;1190612;36;87;36;99;;;36;78;36;34;40;40;0;0;65;53;78;30;---;---;33;23;21;15;---;---;---;---;---;37;---;---;98;76;99;82;0;0
CAMPUS VIÇOSA;Informática para Internet;Matutino;1190611;36;117;36;124;;;36;192;36;34;40;40;0;0;70;113;116;58;---;---;52;44;50;28;---;---;---;---;---;---;---;---;122;157;166;86;0;0
CAMPUS VIÇOSA;Administração ;Vespertino;;;;36;101;521;2016;3435;11861;2628;2555;2269;2244;2012;1932;4429;4715;3994;2614;2045;648;5904;5998;5550;6794;8185;8414;;;---;37;---;---;10333;10713;9544;9445;10230;9062
TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
