co_mun,no_mun,ano,variavel,economia_categoria,economia_subcategoria,valor
2700201,Anadia,2016.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,142668.0
2700201,Anadia,2016.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,40393.0
2700201,Anadia,2016.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,3668.0
2700201,Anadia,2016.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,96389.0
2700201,Anadia,2016.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,140451.0
2700201,Anadia,2017.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,141403.0
2700201,Anadia,2017.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,34204.0
2700201,Anadia,2017.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,3992.0
2700201,Anadia,2017.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,100707.0
2700201,Anadia,2017.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,138903.0
2700201,Anadia,2018.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,164867.0
2700201,Anadia,2018.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,37865.0
2700201,Anadia,2018.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,9671.0
2700201,Anadia,2018.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,112591.0
2700201,Anadia,2018.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,160127.0
2700201,Anadia,2019.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,200940.0
2700201,Anadia,2019.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,65785.0
2700201,Anadia,2019.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,10660.0
2700201,Anadia,2019.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,119113.0
2700201,Anadia,2019.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,195559.0
2700201,Anadia,2020.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,232193.0
2700201,Anadia,2020.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,90380.0
2700201,Anadia,2020.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,10363.0
2700201,Anadia,2020.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,126049.0
2700201,Anadia,2020.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,226791.0
2700201,Anadia,2021.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,250457.0
2700201,Anadia,2021.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,87012.0
2700201,Anadia,2021.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,14073.0
2700201,Anadia,2021.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,140829.0
2700201,Anadia,2021.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,241915.0
2700300,Arapiraca,2002.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,642115.0
2700300,Arapiraca,2002.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,140351.0
2700300,Arapiraca,2002.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,62230.0
2700300,Arapiraca,2002.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,375127.0
2700300,Arapiraca,2002.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,577708.0
2700300,Arapiraca,2003.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,684525.0
2700300,Arapiraca,2003.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,99256.0
2700300,Arapiraca,2003.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,81805.0
2700300,Arapiraca,2003.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,430539.0
2700300,Arapiraca,2003.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,611600.0
2700300,Arapiraca,2004.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,772296.0
2700300,Arapiraca,2004.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,96555.0
2700300,Arapiraca,2004.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,92991.0
2700300,Arapiraca,2004.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,502126.0
2700300,Arapiraca,2004.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,691672.0
2700300,Arapiraca,2005.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,893674.0
2700300,Arapiraca,2005.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,116345.0
2700300,Arapiraca,2005.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,103009.0
2700300,Arapiraca,2005.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,575630.0
2700300,Arapiraca,2005.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,794983.0
2700300,Arapiraca,2006.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,1045487.0
2700300,Arapiraca,2006.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,110800.0
2700300,Arapiraca,2006.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,141118.0
2700300,Arapiraca,2006.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,667143.0
2700300,Arapiraca,2006.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,919061.0
2700300,Arapiraca,2007.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,1243049.0
2700300,Arapiraca,2007.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,95915.0
2700300,Arapiraca,2007.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,176754.0
2700300,Arapiraca,2007.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,821155.0
2700300,Arapiraca,2007.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,1093824.0
2700300,Arapiraca,2008.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,1368640.0
2700300,Arapiraca,2008.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,121126.0
2700300,Arapiraca,2008.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,189620.0
2700300,Arapiraca,2008.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,896797.0
2700300,Arapiraca,2008.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,1207543.0
2700300,Arapiraca,2009.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,1627700.0
2700300,Arapiraca,2009.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,131583.0
