_id,co_reg_plan,no_reg_plan,ano,variavel,ensino_rede,ensino_tipo,valor
180,2701.0,Alto Sertão,2013,Matrícula,Privada,Ensino Médio,331.0
181,2701.0,Alto Sertão,2013,Matrícula,Pública,Educação Infantil,6303.0
182,2701.0,Alto Sertão,2013,Matrícula,Pública,Educação Profissional,675.0
183,2701.0,Alto Sertão,2013,Matrícula,Pública,Educação de Jovens e Adultos (EJA),9990.0
184,2701.0,Alto Sertão,2013,Matrícula,Pública,Ensino Fundamental,34020.0
185,2701.0,Alto Sertão,2013,Matrícula,Pública,Ensino Médio,6578.0
186,2701.0,Alto Sertão,2013,Matrícula,Total,Educação Infantil,6602.0
187,2701.0,Alto Sertão,2013,Matrícula,Total,Educação Profissional,675.0
188,2701.0,Alto Sertão,2013,Matrícula,Total,Educação de Jovens e Adultos (EJA),9990.0
189,2701.0,Alto Sertão,2013,Matrícula,Total,Ensino Fundamental,35482.0
190,2701.0,Alto Sertão,2013,Matrícula,Total,Ensino Médio,6909.0
191,2701.0,Alto Sertão,2014,Matrícula,Estadual,Educação Infantil,78.0
192,2701.0,Alto Sertão,2014,Matrícula,Estadual,Educação Profissional,203.0
193,2701.0,Alto Sertão,2014,Matrícula,Estadual,Educação de Jovens e Adultos (EJA),1925.0
194,2701.0,Alto Sertão,2014,Matrícula,Estadual,Ensino Fundamental,3672.0
195,2701.0,Alto Sertão,2014,Matrícula,Estadual,Ensino Médio,6212.0
196,2701.0,Alto Sertão,2014,Matrícula,Federal,Educação Infantil,0.0
197,2701.0,Alto Sertão,2014,Matrícula,Federal,Educação Profissional,485.0
198,2701.0,Alto Sertão,2014,Matrícula,Federal,Educação de Jovens e Adultos (EJA),0.0
199,2701.0,Alto Sertão,2014,Matrícula,Federal,Ensino Fundamental,0.0
200,2701.0,Alto Sertão,2014,Matrícula,Federal,Ensino Médio,485.0
201,2701.0,Alto Sertão,2014,Matrícula,Municipal,Educação Infantil,6142.0
202,2701.0,Alto Sertão,2014,Matrícula,Municipal,Educação Profissional,0.0
203,2701.0,Alto Sertão,2014,Matrícula,Municipal,Educação de Jovens e Adultos (EJA),7677.0
204,2701.0,Alto Sertão,2014,Matrícula,Municipal,Ensino Fundamental,29553.0
205,2701.0,Alto Sertão,2014,Matrícula,Municipal,Ensino Médio,0.0
206,2701.0,Alto Sertão,2014,Matrícula,Privada,Educação Infantil,269.0
207,2701.0,Alto Sertão,2014,Matrícula,Privada,Educação Profissional,0.0
208,2701.0,Alto Sertão,2014,Matrícula,Privada,Educação de Jovens e Adultos (EJA),0.0
209,2701.0,Alto Sertão,2014,Matrícula,Privada,Ensino Fundamental,1404.0
210,2701.0,Alto Sertão,2014,Matrícula,Privada,Ensino Médio,237.0
211,2701.0,Alto Sertão,2014,Matrícula,Pública,Educação Infantil,6220.0
212,2701.0,Alto Sertão,2014,Matrícula,Pública,Educação Profissional,688.0
213,2701.0,Alto Sertão,2014,Matrícula,Pública,Educação de Jovens e Adultos (EJA),9602.0
214,2701.0,Alto Sertão,2014,Matrícula,Pública,Ensino Fundamental,33225.0
215,2701.0,Alto Sertão,2014,Matrícula,Pública,Ensino Médio,6697.0
216,2701.0,Alto Sertão,2014,Matrícula,Total,Educação Infantil,6489.0
217,2701.0,Alto Sertão,2014,Matrícula,Total,Educação Profissional,688.0
218,2701.0,Alto Sertão,2014,Matrícula,Total,Educação de Jovens e Adultos (EJA),9602.0
219,2701.0,Alto Sertão,2014,Matrícula,Total,Ensino Fundamental,34629.0
220,2701.0,Alto Sertão,2014,Matrícula,Total,Ensino Médio,6934.0
221,2701.0,Alto Sertão,2015,Matrícula,Estadual,Educação Infantil,70.0
222,2701.0,Alto Sertão,2015,Matrícula,Estadual,Educação Profissional,122.0
223,2701.0,Alto Sertão,2015,Matrícula,Estadual,Educação de Jovens e Adultos (EJA),1886.0
224,2701.0,Alto Sertão,2015,Matrícula,Estadual,Ensino Fundamental,2870.0
225,2701.0,Alto Sertão,2015,Matrícula,Estadual,Ensino Médio,5841.0
226,2701.0,Alto Sertão,2015,Matrícula,Federal,Educação Infantil,0.0
227,2701.0,Alto Sertão,2015,Matrícula,Federal,Educação Profissional,495.0
228,2701.0,Alto Sertão,2015,Matrícula,Federal,Educação de Jovens e Adultos (EJA),0.0
229,2701.0,Alto Sertão,2015,Matrícula,Federal,Ensino Fundamental,0.0
230,2701.0,Alto Sertão,2015,Matrícula,Federal,Ensino Médio,495.0
231,2701.0,Alto Sertão,2015,Matrícula,Municipal,Educação Infantil,6074.0
232,2701.0,Alto Sertão,2015,Matrícula,Municipal,Educação Profissional,0.0
233,2701.0,Alto Sertão,2015,Matrícula,Municipal,Educação de Jovens e Adultos (EJA),6435.0
234,2701.0,Alto Sertão,2015,Matrícula,Municipal,Ensino Fundamental,29264.0
235,2701.0,Alto Sertão,2015,Matrícula,Municipal,Ensino Médio,0.0
